id ,name,start_location,end_location,distance_mt,date,public_transport_fare,ride_duration,ride_duration_minutes
15478791439,Commute 21.1 - from Nes,"Nes 100D, 1012 KE Amsterdam, Netherlands","Emmeline Pankhurststraat 25, 1103 MN Amsterdam, Netherlands",8486.4,2025-08-16T13:19:55Z,€2.98,1903,31.72
15507938228,Commute 22 - to Nes,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Nes 49, 1012 KD Amsterdam, Netherlands",8562.6,2025-08-19T03:53:54Z,€2.98,2366,39.43
15512973867,Commute 22.1 - to Nes,"Nes 59, 1012 KD Amsterdam, Netherlands","Emmeline Pankhurststraat 28, 1103 MT Amsterdam, Netherlands",8610.4,2025-08-19T13:32:13Z,€2.98,1876,31.27
15520287182,Commute 23 - from Nes,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Nes 57, 1012 GL Amsterdam, Netherlands",8339.7,2025-08-20T03:53:51Z,€2.98,1927,32.12
15524817841,Commute 23.1 - to Nes,"Nes 57, 1012 GL Amsterdam, Netherlands","Emmeline Pankhurststraat 15, 1103 MN Amsterdam, Netherlands",8686.3,2025-08-20T13:23:22Z,€2.98,2005,33.42
15532735276,Commute 24 - to Nes,"Emmeline Pankhurststraat 44, 1103 MT Amsterdam, Netherlands","Nes 49, 1012 KD Amsterdam, Netherlands",8532.3,2025-08-21T06:51:16Z,€2.98,1829,30.48
15537498867,Commute 24.1 - from Nes,"Nes 60, 1012 KE Amsterdam, Netherlands","Emmeline Pankhurststraat 25, 1103 MN Amsterdam, Netherlands",8568,2025-08-21T15:31:24Z,€2.98,2097,34.95
15543562110,Commute 25 - to Oosterpark,"Emmeline Pankhurststraat 25, 1103 MN Amsterdam, Netherlands","1e v.Swindenstraat, 1092 CK Amsterdam, Netherlands",6223,2025-08-22T06:22:49Z,€2.75,1413,23.55
15547910673,Commute 25.1 - from Oosterpark,"Wagenaarstraat 9, 1093 ED Amsterdam, Netherlands","Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands",6261.7,2025-08-22T14:49:27Z,€2.75,1417,23.62
15553774661,Commute 26 - to Nes,"Emmeline Pankhurststraat 12, 1103 MN Amsterdam, Netherlands","Nes 49, 1012 KD Amsterdam, Netherlands",8304.7,2025-08-23T05:59:00Z,€2.98,1863,31.05
